,Primary_ISBN_10,Book_Title,Description,Author,Contributor,Publisher,Asterisk,Dagger,Amazon_URL,Review_Link,BestSeller_Date,Published_Date,Book_Category,BestSeller_Year,BestSeller_Week,Rank,Rank_Last_Week,Weeks_on_List
40744,399562486,THE GIVER OF STARS,"In Depression-era America, five women refuse to be cowed by men or convention as they deliver books throughout the mountains of Kentucky.",Jojo Moyes,by Jojo Moyes,Pamela Dorman/Viking,0,0,https://www.amazon.com/Giver-Stars-Novel-Jojo-Moyes/dp/0399562486?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,5,0,3
40745,62963678,THE DUTCH HOUSE,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.,Ann Patchett,by Ann Patchett,Harper,0,0,https://www.amazon.com/Dutch-House-Novel-Ann-Patchett/dp/0062963678?tag=NYTBSREV-20,https://www.nytimes.com/2019/09/21/books/review-dutch-house-ann-patchett.html,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,6,8,6
40746,374155011,FIND ME,"Years after the events of “Call Me by Your Name,” Elio has become a classically trained pianist in Paris while Oliver is a New England college professor with a family.",André Aciman,by André Aciman,"Farrar, Straus & Giroux",0,0,https://www.amazon.com/Find-Me-Novel-André-Aciman/dp/0374155011?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/25/books/review/find-me-andre-aciman.html,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,7,0,1
40747,316420271,THE 19TH CHRISTMAS,"In the 19th installment of the Women's Murder Club series, detective Lindsay Boxer and company take on a fearsome criminal known only as ""Loman.""",James Patterson and Maxine Paetro,by James Patterson and Maxine Paetro,"Little, Brown",0,0,https://www.amazon.com/19th-Christmas-Womens-Murder-Club-ebook/dp/B07P1SSF9S?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,8,7,4
40748,None,THE DESERTER,Two members of the Criminal Investigation Division must bring back a Delta Force soldier who disappeared.,Nelson DeMille and Alex DeMille,by Nelson DeMille and Alex DeMille,Simon & Schuster,0,0,https://www.amazon.com/Deserter-Novel-Nelson-DeMille/dp/1501101757?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,9,3,2
40749,1982110562,THE INSTITUTE,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.,Stephen King,by Stephen King,Scribner,0,0,https://www.amazon.com/Institute-Novel-Stephen-King/dp/1982110562?tag=NYTBSREV-20,https://www.nytimes.com/2019/09/08/books/review-institute-stephen-king.html,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,10,9,8
40750,None,RAVENOUS,The 11th book in the Steel Brothers Saga.,Helen Hardt,by Helen Hardt,Waterhouse,0,0,https://www.amazon.com/Ravenous-11-Steel-Brothers-Saga/dp/1642631361?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,11,0,1
40751,1982138866,DOCTOR SLEEP,"Now grown up, Dan, the boy with psycho-intuitive powers in “The Shining,” helps another child with a spectacular gift.",Stephen King,by Stephen King,Scribner,0,0,http://www.amazon.com/Doctor-Sleep-Stephen-King/dp/1451698852?tag=NYTBSREV-20,https://www.nytimes.com/2013/09/16/books/doctor-sleep-is-stephen-kings-sequel-to-the-shining.html,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,12,0,17
40752,1984822136,THE LOST CAUSES OF BLEAK CREEK,Two high school freshmen dig into the dark underpinnings of their hometown and a local reform school in North Carolina.,Rhett McLaughlin and Link Neal with Lance Rubin,by Rhett McLaughlin and Link Neal with Lance Rubin,Crown,0,0,https://www.amazon.com/Lost-Causes-Bleak-Creek-Novel/dp/1984822136?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,13,0,1
40753,399590595,THE WATER DANCER,A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.,Ta-Nehisi Coates,by Ta-Nehisi Coates,One World,0,0,https://www.amazon.com/Water-Dancer-Oprahs-Book-Club/dp/0399590595?tag=NYTBSREV-20,https://www.nytimes.com/2019/09/20/books/review-water-dancer-ta-nehisi-coates.html,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,14,11,6
40754,385543786,THE TESTAMENTS,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay.",Margaret Atwood,by Margaret Atwood,Nan A. Talese/Doubleday,0,0,https://www.amazon.com/Testaments-Sequel-Handmaids-Tale/dp/0385543786?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Fiction,2019,46,15,10,8
40845,399589651,THE BEAUTIFUL ONES,"A memoir by the musician written before his death, with photos and other memorabilia detailing his evolution.",Prince,by Prince. Edited by Dan Piepenbring,Spiegel & Grau,0,0,https://www.amazon.com/Beautiful-Ones-Prince/dp/0399589651?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,1,0,1
40846,1250147603,ME,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles.",Elton John,by Elton John,Holt,0,0,https://www.amazon.com/Me-Elton-John-Official-Autobiography/dp/1250147603?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/10/books/review-me-elton-john-memoir.html,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,2,1,3
40847,525575472,BLOWOUT,The MSNBC host argues that the global oil and gas industry has weakened democracies and bolstered authoritarians.,Rachel Maddow,by Rachel Maddow,Crown,0,0,https://www.amazon.com/Blowout-Corrupted-Democracy-Destructive-Industry/dp/0525575472?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/30/books/review/blowout-rachel-maddow.html,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,3,4,5
40848,316486639,CATCH AND KILL,The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.,Ronan Farrow,by Ronan Farrow,"Little, Brown",0,0,https://www.amazon.com/Catch-Kill-Conspiracy-Protect-Predators/dp/0316486639?tag=NYTBSREV-20,https://www.nytimes.com/2019/10/11/books/review-catch-kill-ronan-farrow-harvey-weinstein.html,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,4,2,3
40849,1546085025,THE PLOT AGAINST THE PRESIDENT,A narrative is depicted from the perspective of Representative Devin Nunes.,Lee Smith,by Lee Smith,Center Street,0,0,https://www.amazon.com/Plot-Against-President-Congressman-Uncovered/dp/1546085025?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,5,0,1
40850,399590501,EDUCATED,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",Tara Westover,by Tara Westover,Random House,0,0,https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?tag=NYTBSREV-20,https://www.nytimes.com/2018/03/01/books/review/tara-westover-educated.html,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,6,7,89
40851,316478520,TALKING TO STRANGERS,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,Malcolm Gladwell,by Malcolm Gladwell,"Little, Brown",0,0,https://www.amazon.com/Talking-Strangers-Should-about-People/dp/0316478520?tag=NYTBSREV-20,https://www.nytimes.com/2019/09/04/books/review-talking-to-strangers-malcolm-gladwell.html,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,7,6,8
40852,1452182752,DUMPTY,The multi-award-winning actor satirizes the Trump administration with a collection of poems and illustrations.,John Lithgow,by John Lithgow,Chronicle Prism,0,0,https://www.amazon.com/Dumpty-Trump-Political-Satire-Poetry/dp/1452182752?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,8,5,2
40853,62905686,THREE DAYS AT THE BRINK,"The Fox News host describes a meeting between Franklin D. Roosevelt, Winston Churchill and Joseph Stalin in Tehran during World War II.",Bret Baier with Catherine Whitney,by Bret Baier with Catherine Whitney,Morrow,0,0,https://www.amazon.com/Three-Days-Brink-Daring-Gamble/dp/0062905686?tag=NYTBSREV-20,,11/2/19,11/17/19,Combined Print and E-Book Nonfiction,2019,46,9,3,2
