,Primary_ISBN_10,Book_Title,Description,Author,Contributor,Publisher,Asterisk,Dagger,Amazon_URL,Review_Link,BestSeller_Date,Published_Date,Book_Category,BestSeller_Year,BestSeller_Week,Rank,Rank_Last_Week,Weeks_on_List
0,385514239,ORIGIN,A symbology professor goes on a perilous quest with a beautiful museum director.,Dan Brown,by Dan Brown,Doubleday,0,0,https://www.amazon.com/Origin-Novel-Dan-Brown-ebook/dp/B01LY7FD0D?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,1,2,12
1,385541171,THE ROOSTER BAR,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,John Grisham,by John Grisham,Doubleday,0,0,https://www.amazon.com/Rooster-Bar-John-Grisham-ebook/dp/B01N6YQAPS?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,2,1,9
2,1449486797,THE SUN AND HER FLOWERS,"A new collection of poetry from the author of ""Milk and Honey.""",Rupi Kaur,by Rupi Kaur,Andrews McMeel,0,0,https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?tag=NYTBSREV-20,https://www.nytimes.com/2017/12/15/books/review/rupi-kaur-instapoets.html,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,3,3,12
3,316273902,THE PEOPLE VS. ALEX CROSS,Detective Cross takes on a case even though he has been suspended from the department and taken to federal court to stand trial on murder charges.,James Patterson,by James Patterson,"Little, Brown",0,0,https://www.amazon.com/People-vs-Alex-Cross/dp/0316273902?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,4,5,5
4,144947425X,MILK AND HONEY,Poetic approaches to surviving adversity and loss.,Rupi Kaur,by Rupi Kaur,Andrews McMeel,0,0,http://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,5,7,45
5,385543913,DARKER,Christian Grey's tormented and difficult pursuit of Anastasia Steele is told from his perspective.,EL James,by E.L. James,Vintage,0,0,https://www.amazon.com/Darker-Fifty-Shades-Told-Christian-ebook/dp/B07693HRS9?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,6,4,4
6,399593489,THE MIDNIGHT LINE,Jack Reacher tracks down the owner of a pawned West Point class ring and stumbles upon a large criminal enterprise.,Lee Child,by Lee Child,Delacorte,0,0,https://www.amazon.com/Midnight-Line-Jack-Reacher-Novel-ebook/dp/B06WP486XH?tag=NYTBSREV-20,https://www.nytimes.com/2017/11/08/books/review-midnight-line-jack-reacher-lee-child.html,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,7,6,7
7,553448129,ARTEMIS,A small-time smuggler living in a lunar colony schemes to pay off an old debt by pulling off a challenging heist.,Andy Weir,by Andy Weir,Crown,0,0,https://www.amazon.com/Artemis-Novel-Andy-Weir/dp/0553448129?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,8,10,6
8,1250122953,YEAR ONE,"When a pandemic strikes and the world spins into chaos, several travelers head west to find a new life.",Nora Roberts,by Nora Roberts,St. Martin's,0,0,https://www.amazon.com/Year-One-Chronicles-Book/dp/1250122953?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,9,8,3
9,307887448,READY PLAYER ONE,"It’s 2044, life on a resource-depleted Earth has grown increasingly grim, and the key to a vast fortune is hidden in a virtual-reality world.",Ernest Cline,by Ernest Cline,Broadway,0,0,http://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/030788743X?tag=NYTBSREV-20,https://www.nytimes.com/2011/08/15/books/ready-player-one-by-ernest-cline-review.html,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,10,11,6
10,735224293,LITTLE FIRES EVERYWHERE,An artist upends a quiet town outside Cleveland.,Celeste Ng,by Celeste Ng,Penguin Press,0,0,https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng-ebook/dp/B01N4VW75U?tag=NYTBSREV-20,https://www.nytimes.com/2017/09/25/books/review/little-fires-everywhere-celeste-ng.html,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,11,12,9
11,1455586609,END GAME,Jessica Reel and Will Robie fight a dangerous adversary in Colorado.,David Baldacci,by David Baldacci,Grand Central,0,0,https://www.amazon.com/Game-Will-Robie-David-Baldacci-ebook/dp/B06WGTZXG7?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,12,9,6
12,735215898,TOM CLANCY POWER AND EMPIRE,President Jack Ryan seeks to identify the hidden forces escalating the tensions between China and the United States.,Marc Cameron,by Marc Cameron,Putnam,0,0,https://www.amazon.com/Clancy-Power-Empire-Jack-Novel-ebook/dp/B06Y55SB4X?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,13,13,4
13,150116340X,SLEEPING BEAUTIES,Women who fall asleep become shrouded in mysterious cocoons while the men battle one another.,Stephen King and Owen King,by Stephen King and Owen King,Scribner,0,0,https://www.amazon.com/Sleeping-Beauties-Novel-Stephen-King/dp/150116340X?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,14,0,5
14,399179194,HARDCORE TWENTY-FOUR,"When a homeless man is murdered, the bounty hunter Stephanie Plum searches for the killer.",Janet Evanovich,by Janet Evanovich,Putnam,0,0,https://www.amazon.com/Hardcore-Twenty-Four-Stephanie-Plum-Book-ebook/dp/B01N3KJB3E?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,15,14,6
105,159420487X,GRANT,A biography of the Union general of the Civil War and two-term president of the United States.,Ron Chernow,by Ron Chernow,Penguin Press,0,0,https://www.amazon.com/Grant-Ron-Chernow/dp/159420487X?tag=NYTBSREV-20,https://www.nytimes.com/2017/10/12/books/review/ron-chernow-ulysses-s-grant-biography-bill-clinton.html,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,1,4,11
106,1501139150,LEONARDO DA VINCI,A biography of the Italian Renaissance polymath which connects his work in various disciplines.,Walter Isaacson,by Walter Isaacson,Simon & Schuster,0,0,https://www.amazon.com/Leonardo-Vinci-Walter-Isaacson/dp/1501139150?tag=NYTBSREV-20,https://www.nytimes.com/2017/11/27/books/review/leonardo-da-vinci-biography-walter-isaacson.html,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,2,1,10
107,1250171679,"PROMISE ME, DAD","The former vice president recalls his toughest year in office, as his son battled brain cancer.",Joe Biden,by Joe Biden,Flatiron Books,0,0,https://www.amazon.com/Promise-Me-Dad-Hardship-Purpose/dp/1250171679?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,3,3,6
108,316512583,OBAMA,"More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",Pete Souza,by Pete Souza,"Little, Brown",0,0,https://www.amazon.com/Obama-Intimate-Portrait-Pete-Souza/dp/0316512583?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,4,2,7
109,393609391,ASTROPHYSICS FOR PEOPLE IN A HURRY,"A straightforward, easy-to-understand introduction to the laws that govern the universe.",Neil deGrasse Tyson,by Neil deGrasse Tyson,Norton,0,0,https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,5,6,33
110,1627790640,KILLING ENGLAND,Major events and battles during the Revolutionary War are told from several perspectives.,Bill O'Reilly and Martin Dugard,by Bill O'Reilly and Martin Dugard,Holt,0,0,https://www.amazon.com/Killing-England-Struggle-American-Independence/dp/1627790640?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,6,9,14
111,735213232,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS,Major General Jackson takes on the British in Louisiana.,Brian Kilmeade and Don Yaeger,by Brian Kilmeade and Don Yaeger,Sentinel,0,0,https://www.amazon.com/Andrew-Jackson-Miracle-New-Orleans/dp/0735213232?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,7,5,9
112,1501111868,BOBBY KENNEDY,The New York senator's journey from his formative years to his tragic run for president.,Chris Matthews,by Chris Matthews,Simon & Schuster,0,0,https://www.amazon.com/Bobby-Kennedy-Raging-Chris-Matthews/dp/1501111868?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,8,7,8
113,385534248,KILLERS OF THE FLOWER MOON,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",David Grann,by David Grann,Doubleday,0,0,https://www.amazon.com/Killers-Flower-Moon-Osage-Murders/dp/0385534248?tag=NYTBSREV-20,https://www.nytimes.com/2017/04/28/books/review/killers-of-the-flower-moon-david-grann.html,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,9,10,28
114,1546083308,LET TRUMP BE TRUMP,Insider accounts of the Republican presidential campaign and its outcome by two of its advisers.,Corey R Lewandowski and David N Bossie,by Corey R. Lewandowski and David N. Bossie,Center Street,0,0,https://www.amazon.com/Let-Trump-Be-Inside-Presidency/dp/1546083308?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,10,8,3
115,1501175564,WHAT HAPPENED,An inside look at her campaign and how she recovered in its aftermath.,Hillary Clinton,by Hillary Clinton,Simon & Schuster,0,0,https://www.amazon.com/What-Happened-Hillary-Rodham-Clinton/dp/1501175564?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,11,12,15
116,1524731595,ENDURANCE,A memoir by the retired astronaut and former commander of the International Space Station.,Scott Kelly,by Scott Kelly,Knopf,0,0,https://www.amazon.com/Endurance-Year-Space-Lifetime-Discovery/dp/1524731595?tag=NYTBSREV-20,https://www.nytimes.com/2017/12/07/books/review/endurance-scott-kelly.html,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,12,14,9
117,1501181823,THE LAST BLACK UNICORN,"The comedian recounts growing up in South Central Los Angeles, exacting revenge on an ex-boyfriend and finding success after a period of homelessness.",Tiffany Haddish,by Tiffany Haddish,Gallery,0,0,https://www.amazon.com/Last-Black-Unicorn-Tiffany-Haddish/dp/1501181823?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,13,11,3
118,1538711419,SISTERS FIRST,How the twin daughters of former president George W. Bush grew up in the public eye.,Jenna Bush Hager and Barbara Pierce Bush,by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki,Grand Central,0,0,https://www.amazon.com/Sisters-First-Jenna-Bush-Hager/dp/0316534781/ref=asc_df_0316534781/?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,14,13,9
119,399590560,WE WERE EIGHT YEARS IN POWER,"A series of essays that cover each year of the Obama administration, the writer's own journey and the echoes of American history in modern times.",Ta-Nehisi Coates,by Ta-Nehisi Coates,One World,0,0,https://www.amazon.com/We-Were-Eight-Years-Power/dp/0399590560?tag=NYTBSREV-20,https://www.nytimes.com/2017/11/03/books/review/we-were-eight-years-in-power-ta-nehisi-coates-essays-memoir.html,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,15,0,7
210,385541171,THE ROOSTER BAR,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,John Grisham,by John Grisham,Doubleday,0,0,https://www.amazon.com/Rooster-Bar-John-Grisham-ebook/dp/B01N6YQAPS?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,1,1,9
211,385514239,ORIGIN,A symbology professor goes on a perilous quest with a beautiful museum director.,Dan Brown,by Dan Brown,Doubleday,0,0,https://www.amazon.com/Origin-Novel-Dan-Brown-ebook/dp/B01LY7FD0D?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,2,2,12
212,316273902,THE PEOPLE VS. ALEX CROSS,Detective Cross takes on a case even though he has been suspended from the department and taken to federal court to stand trial on murder charges.,James Patterson,by James Patterson,"Little, Brown",0,0,https://www.amazon.com/People-vs-Alex-Cross/dp/0316273902?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,3,3,5
213,553448129,ARTEMIS,A small-time smuggler living in a lunar colony schemes to pay off an old debt by pulling off a challenging heist.,Andy Weir,by Andy Weir,Crown,0,0,https://www.amazon.com/Artemis-Novel-Andy-Weir/dp/0553448129?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,4,5,6
214,399593489,THE MIDNIGHT LINE,Jack Reacher tracks down the owner of a pawned West Point class ring and stumbles upon a large criminal enterprise.,Lee Child,by Lee Child,Delacorte,0,0,https://www.amazon.com/Midnight-Line-Jack-Reacher-Novel-ebook/dp/B06WP486XH?tag=NYTBSREV-20,https://www.nytimes.com/2017/11/08/books/review-midnight-line-jack-reacher-lee-child.html,12/23/17,1/7/18,Hardcover Fiction,2018,1,5,4,7
215,1250122953,YEAR ONE,"When a pandemic strikes and the world spins into chaos, several travelers head west to find a new life.",Nora Roberts,by Nora Roberts,St. Martin's,0,0,https://www.amazon.com/Year-One-Chronicles-Book/dp/1250122953?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,6,6,3
216,735215898,TOM CLANCY POWER AND EMPIRE,President Jack Ryan seeks to identify the hidden forces escalating the tensions between China and the United States.,Marc Cameron,by Marc Cameron,Putnam,0,0,https://www.amazon.com/Clancy-Power-Empire-Jack-Novel-ebook/dp/B06Y55SB4X?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,7,9,4
217,1455586609,END GAME,Jessica Reel and Will Robie fight a dangerous adversary in Colorado.,David Baldacci,by David Baldacci,Grand Central,0,0,https://www.amazon.com/Game-Will-Robie-David-Baldacci-ebook/dp/B06WGTZXG7?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,8,7,6
218,150116340X,SLEEPING BEAUTIES,Women who fall asleep become shrouded in mysterious cocoons while the men battle one another.,Stephen King and Owen King,by Stephen King and Owen King,Scribner,0,0,https://www.amazon.com/Sleeping-Beauties-Novel-Stephen-King/dp/150116340X?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,9,10,13
219,735224293,LITTLE FIRES EVERYWHERE,An artist upends a quiet town outside Cleveland.,Celeste Ng,by Celeste Ng,Penguin Press,0,0,https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng-ebook/dp/B01N4VW75U?tag=NYTBSREV-20,https://www.nytimes.com/2017/09/25/books/review/little-fires-everywhere-celeste-ng.html,12/23/17,1/7/18,Hardcover Fiction,2018,1,10,8,14
220,1101946156,UNCOMMON TYPE,"Seventeen short stories, each incorporating a typewriter, by the Academy Award-winning actor.",Tom Hanks,by Tom Hanks,Knopf,0,0,https://www.amazon.com/Uncommon-Type-Stories-Tom-Hanks/dp/1101946156?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,11,11,10
221,399179194,HARDCORE TWENTY-FOUR,"When a homeless man is murdered, the bounty hunter Stephanie Plum searches for the killer.",Janet Evanovich,by Janet Evanovich,Putnam,0,0,https://www.amazon.com/Hardcore-Twenty-Four-Stephanie-Plum-Book-ebook/dp/B01N3KJB3E?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,12,12,6
222,052595497X,A COLUMN OF FIRE,A pair of lovers find themselves on opposite sides of a conflict while Queen Elizabeth fights to maintain her throne.,Ken Follett,by Ken Follett,Viking,0,0,https://www.amazon.com/Column-Fire-Kingsbridge-Ken-Follett-ebook/dp/B01N1U8IB3?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,13,14,15
223,316225908,TWO KINDS OF TRUTH,"While he investigates the murder of two pharmacists, an old case comes back to haunt Harry Bosch.",Michael Connelly,by Michael Connelly,"Little, Brown",0,0,https://www.amazon.com/Kinds-Truth-Harry-Bosch-Novel-ebook/dp/B06W9NKRXG?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Fiction,2018,1,14,13,8
224,1476716730,MANHATTAN BEACH,The first female diver at the Brooklyn Naval Yard during World War II tries to understand why her father disappeared.,Jennifer Egan,by Jennifer Egan,Scribner,0,0,https://www.amazon.com/Manhattan-Beach-Novel-Jennifer-Egan/dp/1476716730?tag=NYTBSREV-20,https://www.nytimes.com/2017/10/03/books/review/jennifer-egan-manhattan-beach.html,12/23/17,1/7/18,Hardcover Fiction,2018,1,15,0,6
315,159420487X,GRANT,A biography of the Union general of the Civil War and two-term president of the United States.,Ron Chernow,by Ron Chernow,Penguin Press,0,0,https://www.amazon.com/Grant-Ron-Chernow/dp/159420487X?tag=NYTBSREV-20,https://www.nytimes.com/2017/10/12/books/review/ron-chernow-ulysses-s-grant-biography-bill-clinton.html,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,1,3,11
316,1501139150,LEONARDO DA VINCI,A biography of the Italian Renaissance polymath which connects his work in various disciplines.,Walter Isaacson,by Walter Isaacson,Simon & Schuster,0,0,https://www.amazon.com/Leonardo-Vinci-Walter-Isaacson/dp/1501139150?tag=NYTBSREV-20,https://www.nytimes.com/2017/11/27/books/review/leonardo-da-vinci-biography-walter-isaacson.html,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,2,1,10
317,316512583,OBAMA,"More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",Pete Souza,by Pete Souza,"Little, Brown",0,0,https://www.amazon.com/Obama-Intimate-Portrait-Pete-Souza/dp/0316512583?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,3,2,7
318,1250171679,"PROMISE ME, DAD","The former vice president recalls his toughest year in office, as his son battled brain cancer.",Joe Biden,by Joe Biden,Flatiron Books,0,0,https://www.amazon.com/Promise-Me-Dad-Hardship-Purpose/dp/1250171679?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,4,4,6
319,393609391,ASTROPHYSICS FOR PEOPLE IN A HURRY,"A straightforward, easy-to-understand introduction to the universe.",Neil deGrasse Tyson,by Neil deGrasse Tyson,Norton,0,0,https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,5,7,34
320,1627790640,KILLING ENGLAND,Major events and battles during the Revolutionary War are told from several perspectives.,Bill O'Reilly and Martin Dugard,by Bill O'Reilly and Martin Dugard,Holt,0,0,https://www.amazon.com/Killing-England-Struggle-American-Independence/dp/1627790640?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,6,9,14
321,735213232,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS,Major General Jackson takes on the British in Louisiana.,Brian Kilmeade and Don Yaeger,by Brian Kilmeade and Don Yaeger,Sentinel,0,0,https://www.amazon.com/Andrew-Jackson-Miracle-New-Orleans/dp/0735213232?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,7,5,9
322,1501111868,BOBBY KENNEDY,The New York senator's journey from his formative years to his tragic run for president.,Chris Matthews,by Chris Matthews,Simon & Schuster,0,0,https://www.amazon.com/Bobby-Kennedy-Raging-Chris-Matthews/dp/1501111868?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,8,6,8
323,1501175564,WHAT HAPPENED,An inside look at her campaign and how she recovered in its aftermath.,Hillary Clinton,by Hillary Clinton,Simon & Schuster,0,0,https://www.amazon.com/What-Happened-Hillary-Rodham-Clinton/dp/1501175564?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,9,11,15
324,1546083308,LET TRUMP BE TRUMP,Insider accounts of the Republican presidential campaign and its outcome by two of its advisers.,Corey R Lewandowski and David N Bossie,by Corey R. Lewandowski and David N. Bossie,Center Street,0,1,https://www.amazon.com/Let-Trump-Be-Inside-Presidency/dp/1546083308?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,10,8,3
325,385534248,KILLERS OF THE FLOWER MOON,The story of a murder spree in 1920s Oklahoma that targeted Osage Indians.,David Grann,by David Grann,Doubleday,0,0,https://www.amazon.com/Killers-Flower-Moon-Osage-Murders/dp/0385534248?tag=NYTBSREV-20,https://www.nytimes.com/2017/04/28/books/review/killers-of-the-flower-moon-david-grann.html,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,11,10,27
326,1524731595,ENDURANCE,A memoir by the retired astronaut and former commander of the International Space Station.,Scott Kelly,by Scott Kelly,Knopf,0,0,https://www.amazon.com/Endurance-Year-Space-Lifetime-Discovery/dp/1524731595?tag=NYTBSREV-20,https://www.nytimes.com/2017/12/07/books/review/endurance-scott-kelly.html,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,12,13,10
327,1538711419,SISTERS FIRST,How the twin daughters of former president George W. Bush grew up in the public eye.,Jenna Bush Hager and Barbara Pierce Bush,by Jenna Bush Hager and Barbara Pierce Bush. Illustrated by Ramona Kaulitzki,Grand Central,0,0,https://www.amazon.com/Sisters-First-Jenna-Bush-Hager/dp/0316534781/ref=asc_df_0316534781/?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,13,12,9
328,399590560,WE WERE EIGHT YEARS IN POWER,A series of essays that cover each year of the Obama administration and the writer's own journey.,Ta-Nehisi Coates,by Ta-Nehisi Coates,One World,0,0,https://www.amazon.com/We-Were-Eight-Years-Power/dp/0399590560?tag=NYTBSREV-20,https://www.nytimes.com/2017/11/03/books/review/we-were-eight-years-in-power-ta-nehisi-coates-essays-memoir.html,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,14,0,10
329,718079183,THE MAGNOLIA STORY,"The couple, who star in the HGTV show “Fixer Upper,” offer a look at their lives together.",Chip Gaines and Joanna Gaines with Mark Dagostino,by Chip Gaines and Joanna Gaines with Mark Dagostino,W Publishing/Thomas Nelson,0,0,https://www.amazon.com/Magnolia-Story-Bonus-Content-ebook/dp/B01CH2EW20?tag=NYTBSREV-20,,12/23/17,1/7/18,Hardcover Nonfiction,2018,1,15,0,30
420,None,THE PEOPLE VS. ALEX CROSS,Detective Cross takes on a case even though he has been suspended from the department and taken to federal court to stand trial on murder charges.,James Patterson,by James Patterson,"Little, Brown",0,0,https://www.amazon.com/People-vs-Alex-Cross/dp/0316273902?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,1,4,6
421,316225916,TWO KINDS OF TRUTH,"While he investigates the murder of two pharmacists, an old case comes back to haunt Harry Bosch.",Michael Connelly,by Michael Connelly,"Little, Brown",0,0,https://www.amazon.com/Kinds-Truth-Harry-Bosch-Novel-ebook/dp/B06W9NKRXG?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,2,0,7
422,385514239,ORIGIN,A symbology professor goes on a perilous quest with a beautiful museum director.,Dan Brown,by Dan Brown,Doubleday,0,0,https://www.amazon.com/Origin-Novel-Dan-Brown-ebook/dp/B01LY7FD0D?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,3,1,13
423,399573909,THE WANTED,A single mother hires Elvis Cole to investigate her teenage son who is on the run after a deadly crime spree.,Robert Crais,by Robert Crais,Putnam,0,0,https://www.amazon.com/Wanted-Elvis-Cole-Joe-Pike-ebook/dp/B01M09NRYP?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,4,0,1
424,None,TWISTED,The eighth book in the Steel Brothers Saga series.,Helen Hardt,by Helen Hardt,Waterhouse,0,0,https://www.amazon.com/Twisted-Steel-Brothers-Saga-Book/dp/1943893241?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,5,0,1
425,385543980,DARKER,Christian Grey's tormented and difficult pursuit of Anastasia Steele is told from his perspective.,EL James,by E.L. James,Vintage,0,0,https://www.amazon.com/Darker-Fifty-Shades-Told-Christian-ebook/dp/B07693HRS9?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,6,6,5
426,385541171,THE ROOSTER BAR,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,John Grisham,by John Grisham,Doubleday,0,0,https://www.amazon.com/Rooster-Bar-John-Grisham-ebook/dp/B01N6YQAPS?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,7,2,10
427,1449486797,THE SUN AND HER FLOWERS,"A new collection of poetry from the author of ""Milk and Honey.""",Rupi Kaur,by Rupi Kaur,Andrews McMeel,0,0,https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?tag=NYTBSREV-20,https://www.nytimes.com/2017/12/15/books/review/rupi-kaur-instapoets.html,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,8,3,13
428,62654209,THE ALICE NETWORK,A pregnant American college student and a French spy join together on a mission in London in 1947.,Kate Quinn,by Kate Quinn,Morrow,0,0,https://www.amazon.com/Alice-Network-Novel-Kate-Quinn-ebook/dp/B01LZFL63S?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,9,0,1
429,144947425X,MILK AND HONEY,Poetic approaches to surviving adversity and loss.,Rupi Kaur,by Rupi Kaur,Andrews McMeel,0,0,http://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,10,5,46
430,399593497,THE MIDNIGHT LINE,Jack Reacher tracks down the owner of a pawned West Point class ring and stumbles upon a large criminal enterprise.,Lee Child,by Lee Child,Delacorte,0,0,https://www.amazon.com/Midnight-Line-Jack-Reacher-Novel-ebook/dp/B06WP486XH?tag=NYTBSREV-20,https://www.nytimes.com/2017/11/08/books/review-midnight-line-jack-reacher-lee-child.html,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,11,7,8
431,735224307,LITTLE FIRES EVERYWHERE,An artist upends a quiet town outside Cleveland.,Celeste Ng,by Celeste Ng,Penguin Press,0,0,https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng-ebook/dp/B01N4VW75U?tag=NYTBSREV-20,https://www.nytimes.com/2017/09/25/books/review/little-fires-everywhere-celeste-ng.html,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,12,11,10
432,1455586633,END GAME,Jessica Reel and Will Robie fight a dangerous adversary in Colorado.,David Baldacci,by David Baldacci,Grand Central,0,0,https://www.amazon.com/Game-Will-Robie-David-Baldacci-ebook/dp/B06WGTZXG7?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,13,12,7
433,None,YEAR ONE,"When a pandemic strikes and the world spins into chaos, several travelers head west to find a new life.",Nora Roberts,by Nora Roberts,St. Martin's,0,0,https://www.amazon.com/Year-One-Chronicles-Book/dp/1250122953?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,14,9,4
434,62430262,THE GOOD DAUGHTER,The lawyer Charlotte Quinn is challenged when violence returns to her hometown of Pikesville.,Karin Slaughter,by Karin Slaughter,Morrow,0,0,https://www.amazon.com/Good-Daughter-Novel-Karin-Slaughter-ebook/dp/B01N7BJZEA?tag=NYTBSREV-20,,12/30/17,1/14/18,Combined Print and E-Book Fiction,2018,2,15,0,2
